	---Training Setting---	
batch_size: 128
vocab_th: 5
embed_size: 512
hidden_size: 512
num_epochs: 1


Epoch [1/1], Step [1/3236], Loss: 9.2258, Perplexity: 10155.6090, min_loss: 9.23, trn_off_step [0/647]
Epoch [1/1], Step [2/3236], Loss: 8.0921, Perplexity: 3268.4107, min_loss: 8.09, trn_off_step [0/647]
Epoch [1/1], Step [3/3236], Loss: 7.5811, Perplexity: 1960.8669, min_loss: 7.58, trn_off_step [0/647]
Epoch [1/1], Step [4/3236], Loss: 6.7803, Perplexity: 880.3489, min_loss: 6.78, trn_off_step [0/647]
Epoch [1/1], Step [5/3236], Loss: 6.1508, Perplexity: 469.0899, min_loss: 6.15, trn_off_step [0/647]
Epoch [1/1], Step [6/3236], Loss: 6.3248, Perplexity: 558.2725, min_loss: 6.15, trn_off_step [1/647]
Epoch [1/1], Step [7/3236], Loss: 5.7240, Perplexity: 306.1165, min_loss: 5.72, trn_off_step [0/647]
Epoch [1/1], Step [8/3236], Loss: 5.9418, Perplexity: 380.6171, min_loss: 5.72, trn_off_step [1/647]
Epoch [1/1], Step [9/3236], Loss: 5.6091, Perplexity: 272.8924, min_loss: 5.61, trn_off_step [0/647]
Epoch [1/1], Step [10/3236], Loss: 5.9615, Perplexity: 388.1922, min_loss: 5.61, trn_off_step [1/647]
Epoch [1/1], Step [11/3236], Loss: 5.6562, Perplexity: 286.0650, min_loss: 5.61, trn_off_step [2/647]
Epoch [1/1], Step [12/3236], Loss: 5.5075, Perplexity: 246.5247, min_loss: 5.51, trn_off_step [0/647]
Epoch [1/1], Step [13/3236], Loss: 5.4202, Perplexity: 225.9235, min_loss: 5.42, trn_off_step [0/647]
Epoch [1/1], Step [14/3236], Loss: 5.3420, Perplexity: 208.9317, min_loss: 5.34, trn_off_step [0/647]
Epoch [1/1], Step [15/3236], Loss: 5.3450, Perplexity: 209.5485, min_loss: 5.34, trn_off_step [1/647]
Epoch [1/1], Step [16/3236], Loss: 5.1265, Perplexity: 168.4234, min_loss: 5.13, trn_off_step [0/647]
Epoch [1/1], Step [17/3236], Loss: 5.0553, Perplexity: 156.8570, min_loss: 5.06, trn_off_step [0/647]
Epoch [1/1], Step [18/3236], Loss: 5.1744, Perplexity: 176.6972, min_loss: 5.06, trn_off_step [1/647]
Epoch [1/1], Step [19/3236], Loss: 4.9432, Perplexity: 140.2227, min_loss: 4.94, trn_off_step [0/647]
Epoch [1/1], Step [20/3236], Loss: 5.3898, Perplexity: 219.1574, min_loss: 4.94, trn_off_step [1/647]
Epoch [1/1], Step [21/3236], Loss: 4.7292, Perplexity: 113.2088, min_loss: 4.73, trn_off_step [0/647]
Epoch [1/1], Step [22/3236], Loss: 4.7914, Perplexity: 120.4650, min_loss: 4.73, trn_off_step [1/647]
Epoch [1/1], Step [23/3236], Loss: 4.6927, Perplexity: 109.1490, min_loss: 4.69, trn_off_step [0/647]
Epoch [1/1], Step [24/3236], Loss: 4.7684, Perplexity: 117.7319, min_loss: 4.69, trn_off_step [1/647]
Epoch [1/1], Step [25/3236], Loss: 4.4525, Perplexity: 85.8381, min_loss: 4.45, trn_off_step [0/647]
Epoch [1/1], Step [26/3236], Loss: 4.4564, Perplexity: 86.1778, min_loss: 4.45, trn_off_step [1/647]
Epoch [1/1], Step [27/3236], Loss: 5.0645, Perplexity: 158.3016, min_loss: 4.45, trn_off_step [2/647]
Epoch [1/1], Step [28/3236], Loss: 4.5320, Perplexity: 92.9474, min_loss: 4.45, trn_off_step [3/647]
Epoch [1/1], Step [29/3236], Loss: 4.4398, Perplexity: 84.7561, min_loss: 4.44, trn_off_step [0/647]
Epoch [1/1], Step [30/3236], Loss: 4.5919, Perplexity: 98.6795, min_loss: 4.44, trn_off_step [1/647]
Epoch [1/1], Step [31/3236], Loss: 4.2783, Perplexity: 72.1196, min_loss: 4.28, trn_off_step [0/647]
Epoch [1/1], Step [32/3236], Loss: 4.3400, Perplexity: 76.7044, min_loss: 4.28, trn_off_step [1/647]
Epoch [1/1], Step [33/3236], Loss: 4.5001, Perplexity: 90.0252, min_loss: 4.28, trn_off_step [2/647]
Epoch [1/1], Step [34/3236], Loss: 4.2295, Perplexity: 68.6835, min_loss: 4.23, trn_off_step [0/647]
Epoch [1/1], Step [35/3236], Loss: 4.2486, Perplexity: 70.0063, min_loss: 4.23, trn_off_step [1/647]
Epoch [1/1], Step [36/3236], Loss: 4.4151, Perplexity: 82.6892, min_loss: 4.23, trn_off_step [2/647]
Epoch [1/1], Step [37/3236], Loss: 4.0895, Perplexity: 59.7105, min_loss: 4.09, trn_off_step [0/647]
Epoch [1/1], Step [38/3236], Loss: 4.2077, Perplexity: 67.2002, min_loss: 4.09, trn_off_step [1/647]
Epoch [1/1], Step [39/3236], Loss: 4.1990, Perplexity: 66.6175, min_loss: 4.09, trn_off_step [2/647]
Epoch [1/1], Step [40/3236], Loss: 4.4898, Perplexity: 89.1075, min_loss: 4.09, trn_off_step [3/647]
Epoch [1/1], Step [41/3236], Loss: 4.3324, Perplexity: 76.1278, min_loss: 4.09, trn_off_step [4/647]
Epoch [1/1], Step [42/3236], Loss: 4.2259, Perplexity: 68.4338, min_loss: 4.09, trn_off_step [5/647]
Epoch [1/1], Step [43/3236], Loss: 4.0690, Perplexity: 58.4997, min_loss: 4.07, trn_off_step [0/647]
Epoch [1/1], Step [44/3236], Loss: 4.1971, Perplexity: 66.4954, min_loss: 4.07, trn_off_step [1/647]
Epoch [1/1], Step [45/3236], Loss: 4.0665, Perplexity: 58.3504, min_loss: 4.07, trn_off_step [0/647]
